Number,Type,Sentence
64,River Bank,Campers pitched their tents on the flat bank beside the river.
65,River Bank,He noticed fresh deer tracks pressed into the soft bank.
66,River Bank,The ancient city was built on the eastern bank of the great river.
67,River Bank,She dangled her feet over the edge of the bank into the cool water.
68,River Bank,The flooded bank was strewn with driftwood and debris.
69,River Bank,He jogged along the river bank every morning before sunrise.
70,River Bank,The river bank served as a natural boundary between the two farms.
71,River Bank,Frogs croaked loudly from the reeds along the bank at night.
72,River Bank,She found a family of otters burrowed into the river bank.
73,River Bank,The crumbling bank had been slowly eroding for decades.
74,River Bank,He anchored the boat to a post driven into the bank.
75,River Bank,The opposite bank shimmered gold in the late afternoon sun.
76,River Bank,She gathered clay from the bank to use in her pottery class.
77,River Bank,The expedition camped on the bank of the Amazon for several days.
78,River Bank,He built a small dock that jutted out from the grassy bank.
79,River Bank,The river bank burst under the pressure of the spring snowmelt.
80,River Bank,She painted a watercolor of the misty bank on a quiet morning.
81,River Bank,The bank was thick with cattails and buzzing with insects.
82,River Bank,He knelt at the bank to fill his canteen with fresh water.
83,River Bank,The children built a rope swing that hung above the bank.
84,River Bank,She read her book on the bank while her dog splashed in the shallows.
85,River Bank,The river bank was reinforced with stones to prevent further erosion.
86,River Bank,He spotted a kingfisher perched motionless on a branch over the bank.
87,River Bank,The soldiers crossed the river and held the opposite bank by nightfall.
88,River Bank,She found an old coin half-buried in the muddy bank.
89,River Bank,The trees along the bank provided shade for the cattle in summer.
90,River Bank,He slipped on the wet bank and fell knee-deep into the river.
91,River Bank,The river bank glowed orange and purple as the sun set.
92,River Bank,She followed the bank upstream until she found the source.
93,River Bank,The archaeologists discovered pottery shards buried in the river bank.
94,River Bank,He tied his kayak to a root jutting from the bank.
95,River Bank,The picnic area was nestled between the forest and the river bank.
96,River Bank,She watched a heron stand perfectly still at the edge of the bank.
97,River Bank,The spring floods had deposited rich silt across the entire bank.
98,River Bank,He wrote her name in the soft mud of the bank with a stick.
99,River Bank,The ancient willows had grown so large their roots spanned the whole bank.
100,River Bank,She promised herself she would return to that peaceful bank every summer.
